MEDDATA	pop_est	gdp_md_est	economy	income_grp	continent	subregion	Longitude	Latitude	Population	Area (sq. mi.)	Pop. Density (per sq. mi.)	Coastline (coast/area ratio)	Net migration	Infant mortality (per 1000 births)	GDP ($ per capita)	Literacy (%)	Phones (per 1000)	Birthrate	Deathrate	DevelopmentLevel	pop1960	pop2010	imr19551960	imr20052010	AvgYrsSchool70	AvgYrsSchool10	GDP1970	GDP2010	GDPPerCap1970	GDPPerCap2010	WHR score	HDI1980	HDI2013	country_longitude	country_latitude
Australia	21262641	800200.0	2. Developed region: nonG7	1. High income: OECD	Oceania	Australia and New Zealand	134.491000082	-25.7328870417												MDC	10292328	22404488	21.3388721403622	4.43372123534003	9.94	12.04	251583905467.723	884332917054.7	19872.0952553304	41101.6465913628	7.284	0.840945132535156	0.932662115105419	134.491000082	-25.7328870417
Austria	8210281	329500.0	2. Developed region: nonG7	1. High income: OECD	Europe	Western Europe	14.1264760996	47.585494392												MDC	7056280	8401924	43.1992674307721	3.77600310383885	6.34	9.71	123410970059.834	326001715510.141	16527.3267322533	39687.7727619307	7.2	0.73577840013105	0.881209839263344	14.1264760996	47.585494392
Austria-Hungary	8210281	329500.0	2. Developed region: nonG7	1. High income: OECD	Europe	Western Europe	14.1264760996	47.585494392												MDC	7056280	8401924	43.1992674307721	3.77600310383885	6.34	9.71	123410970059.834	326001715510.141	16527.3267322533	39687.7727619307	7.2	0.73577840013105	0.881209839263344	14.1264760996	47.585494392
Austro-Hungarian Empire	8210281	329500.0	2. Developed region: nonG7	1. High income: OECD	Europe	Western Europe	14.1264760996	47.585494392												MDC	7056280	8401924	43.1992674307721	3.77600310383885	6.34	9.71	123410970059.834	326001715510.141	16527.3267322533	39687.7727619307	7.2	0.73577840013105	0.881209839263344	14.1264760996	47.585494392
Bahamas	309156	9093.0	6. Developing region	2. High income: nonOECD	North America	Caribbean	-76.6284303802	24.2903670223	303770.0	13940.0	21.8	25.41	-2.2	25.21	16700.0	95.6	460.6	17.57	9.05	LDC	109526	360498	58.3055288779569	10.0413451303174			2670856461.01907	6038345543.11501	15681.1262191194	19451.8034672193			0.789361161859607	-76.6284303802	24.2903670223
Bangladesh	156050883	224000.0	7. Least developed region	5. Low income	Asia	Southern Asia	90.2381274323	23.86731158												Least	49537147	151125475	173.662227442157	43.6663163627831	1.15	4.78	18364965153.7037	80547992227.0261	272.755045405428	515.941485480065	4.694	0.336275882429169	0.557894873266662	90.2381274323	23.86731158
Barbados	284589	5425.0	6. Developing region	2. High income: nonOECD	North America	Caribbean	-59.5597970021	13.1814542822												LDC	230858	280396	71.6246648453997	11.5919777998963	7.77	9.36	1741142992.22893	2971305374.98067	7292.56224860916	10401.799998532		0.658109530896685	0.776212433462368	-59.5597970021	13.1814542822
Belarus	9648533	114100.0	6. Developing region	3. Upper middle income	Europe	Eastern Europe	28.0320930703	53.5313137685												MDC	8190113	9491070	56.5230522218206	6.27056936496495			15188441728.6985	53796574981.6194	1682.52006089802	5557.4583754597	5.813		0.785807784247101	28.0320930703	53.5313137685
Belarus (Russia)	9648533	114100.0	6. Developing region	3. Upper middle income	Europe	Eastern Europe	28.0320930703	53.5313137685												MDC	8190113	9491070	56.5230522218206	6.27056936496495			15188441728.6985	53796574981.6194	1682.52006089802	5557.4583754597	5.813		0.785807784247101	28.0320930703	53.5313137685
Belarusia	9648533	114100.0	6. Developing region	3. Upper middle income	Europe	Eastern Europe	28.0320930703	53.5313137685												MDC	8190113	9491070	56.5230522218206	6.27056936496495			15188441728.6985	53796574981.6194	1682.52006089802	5557.4583754597	5.813		0.785807784247101	28.0320930703	53.5313137685
Belarussia	9648533	114100.0	6. Developing region	3. Upper middle income	Europe	Eastern Europe	28.0320930703	53.5313137685												MDC	8190113	9491070	56.5230522218206	6.27056936496495			15188441728.6985	53796574981.6194	1682.52006089802	5557.4583754597	5.813		0.785807784247101	28.0320930703	53.5313137685
Belgium	10414336	389300.0	2. Developed region: nonG7	1. High income: OECD	Europe	Western Europe	4.64065113918	50.6398157556												MDC	9140563	10941288	35.4534595614425	3.81504184144432	6.98	10.57	164344723237.163	399155858698.455	17052.0993626308	38293.8673915217	6.937	0.752518810193054	0.880780038064078	4.64065113918	50.6398157556
Belize	307899	2536.0	6. Developing region	4. Lower middle income	North America	Central America	-88.7101048564	17.2002750902												LDC	92068	308595	88.5664820206613	15.5548738776594	6.66	9.25	147539692.253327	1249565697.13849	1208.64825307878	3972.90395310498		0.618803847835563	0.731598826635094	-88.7101048564	17.2002750902
Belorus	9648533	114100.0	6. Developing region	3. Upper middle income	Europe	Eastern Europe	28.0320930703	53.5313137685												MDC	8190113	9491070	56.5230522218206	6.27056936496495			15188441728.6985	53796574981.6194	1682.52006089802	5557.4583754597	5.813		0.785807784247101	28.0320930703	53.5313137685
Belorussia	9648533	114100.0	6. Developing region	3. Upper middle income	Europe	Eastern Europe	28.0320930703	53.5313137685												MDC	8190113	9491070	56.5230522218206	6.27056936496495			15188441728.6985	53796574981.6194	1682.52006089802	5557.4583754597	5.813		0.785807784247101	28.0320930703	53.5313137685
Bermuda	67837	4500.0	2. Developed region: nonG7	2. High income: nonOECD	North America	Northern America	-64.7545588982	32.3136780208												MDC	44714	64951					2010373635.70108	5061546451.52499	38220.0310969787	74145.5570427743				-64.7545588982	32.3136780208
Bolivia	9775246	43270.0	5. Emerging region: G20	4. Lower middle income	South America	South America	-64.6853864515	-16.7081478725												LDC	3353125	10156601	169.865776711616	45.6261782651467	3.29	9.2	3817696419.80539	11962383168.7423	878.39505975204	1202.56162641826	5.89	0.493578978298899	0.667281963238646	-64.6853864515	-16.7081478725
Bosnia	4613414	29700.0	6. Developing region	3. Upper middle income	Europe	Southern Europe	17.7687673323	44.1745012472	4498976.0	51129.0	88.0	0.04	0.31	21.05	6100.0		215.4	8.77	8.27	MDC	3305501	3845929	135.738200853969	9.02999114167791			826006397.630722	12574160958.2554	223.064109541108	3236.67641250271	4.949		0.730806615519731	17.7687673323	44.1745012472
Brazil	198739269	1993000.0	3. Emerging region: BRIC	3. Upper middle income	South America	South America	-53.0978311267	-10.7877770246												LDC	72775883	195210154	122.011424077346	23.5954427373228	2.48	7.18	227882167354.671	1092509311603.22	2381.60465718498	5432.57693248155	6.983	0.545037002091731	0.743640439102343	-53.0978311267	-10.7877770246
Budapest	9905596	196600.0	2. Developed region: nonG7	1. High income: OECD	Europe	Eastern Europe	19.3955911607	47.1627750614												MDC	10001270	10014633	54.732557821718	5.59387828143065	7.88	11.67	45184200712.5787	106496781982.158	4371.11185335507	10657.8431718698	4.8	0.695809706018808	0.818057626051209	19.3955911607	47.1627750614
Bulgaria	7204687	93750.0	2. Developed region: nonG7	3. Upper middle income	Europe	Eastern Europe	25.2155290863	42.7689031797												MDC	7866472	7389175	65.5977553631073	9.85317420562848	6.9	9.94	16094856820.918	32942482076.9361	1895.83797972878	4608.12320931964	4.218	0.657760450491475	0.777361921851794	25.2155290863	42.7689031797
Burma	48137741	55130.0	7. Least developed region	5. Low income	Asia	South-Eastern Asia	96.4884332104	21.1856659927	64631595.0	514000.0	125.7	0.63	0.0	20.48	7400.0	92.6	108.9	13.87	7.04	Least	21486424	51931231	175.820226581269	52.6755377756475	1.1	3.95	6295209110.98611	51872502895.0017	229.811094655046	971.133779364365	4.307	0.327629808419458	0.523528389213289	96.4884332104	21.1856659927
Cabo Rojo P.R.	3971020	70230.0	6. Developing region	2. High income: nonOECD	North America	Caribbean	-66.4730760435	18.2281305461												LDC	2355570	3709671	51.4327472151089	7.01468488724755			22821696456.677	77833979099.3764	8384.92253770069	20911.9933270364				-66.4730760435	18.2281305461
Cameron	18879301	42750.0	6. Developing region	4. Lower middle income	Africa	Middle Africa	12.7396415575	5.69109848986												LDC	5361367	20624343	157.849025161556	82.4736002403374	1.28	5.9	5020526287.86364	20702474901.2103	746.354328001965	1072.99238236474	4.252	0.390808832612743	0.504376676764851	12.7396415575	5.69109848986
Canada	33487208	1300000.0	1. Developed region: G7	1. High income: OECD	North America	Northern America	-98.3077702819	61.3620632437												MDC	17909232	34126240	32.5918937090791	5.21528327323617	8.68	12.26	381976394150.778	1203979728841.85	17562.1443687724	35663.1792044457	7.427	0.808563584815192	0.901851575242719	-98.3077702819	61.3620632437
Canda	33487208	1300000.0	1. Developed region: G7	1. High income: OECD	North America	Northern America	-98.3077702819	61.3620632437												MDC	17909232	34126240	32.5918937090791	5.21528327323617	8.68	12.26	381976394150.778	1203979728841.85	17562.1443687724	35663.1792044457	7.427	0.808563584815192	0.901851575242719	-98.3077702819	61.3620632437
Chile	16601707	244500.0	5. Emerging region: G20	3. Upper middle income	South America	South America	-71.3825621318	-37.730709893												LDC	7649026	17150760	118.323489880914	7.19285928605973	5.8	9.74	26982456730.7498	138728457457.419	2880.10777440346	8277.4016758938	6.67	0.640006039881764	0.821583889802742	-71.3825621318	-37.730709893
Chin	1338612970	7973000.0	3. Emerging region: BRIC	3. Upper middle income	Asia	Eastern Asia	103.81907349	36.5617654559												LDC	650680114	1359821465	117.924516118214	18.3655770427791	2.48	7.54	118323803638.612	3834548998991.59	144.226389916627	2882.81328713397	5.14	0.422886003065583	0.719080606817142	103.81907349	36.5617654559
China	1338612970	7973000.0	3. Emerging region: BRIC	3. Upper middle income	Asia	Eastern Asia	103.81907349	36.5617654559												LDC	650680114	1359821465	117.924516118214	18.3655770427791	2.48	7.54	118323803638.612	3834548998991.59	144.226389916627	2882.81328713397	5.14	0.422886003065583	0.719080606817142	103.81907349	36.5617654559
china	1338612970	7973000.0	3. Emerging region: BRIC	3. Upper middle income	Asia	Eastern Asia	103.81907349	36.5617654559												LDC	650680114	1359821465	117.924516118214	18.3655770427791	2.48	7.54	118323803638.612	3834548998991.59	144.226389916627	2882.81328713397	5.14	0.422886003065583	0.719080606817142	103.81907349	36.5617654559
Colombia	45644023	395400.0	6. Developing region	3. Upper middle income	South America	South America	-73.0811458241	3.91383430725												LDC	16006395	46444798	105.386605538242	19.0779150351668	3.37	7.34	38819699808.2247	183222747500.419	1811.49413622115	4144.81468317424	6.477	0.556941844518026	0.710733782957863	-73.0811458241	3.91383430725
Columbia	45644023	395400.0	6. Developing region	3. Upper middle income	South America	South America	-73.0811458241	3.91383430725												LDC	16006395	46444798	105.386605538242	19.0779150351668	3.37	7.34	38819699808.2247	183222747500.419	1811.49413622115	4144.81468317424	6.477	0.556941844518026	0.710733782957863	-73.0811458241	3.91383430725
Costa Rica	4253877	48320.0	5. Emerging region: G20	3. Upper middle income	North America	Central America	-84.1920876775	9.9763446384												LDC	1334044	4669685	87.7247826362919	9.88941006224819	3.62	8.35	4423898071.05639	24489059129.4051	2549.02877752493	5422.46815465258	7.226	0.604742904104761	0.762537255894071	-84.1920876775	9.9763446384
Croatia	4489409	82390.0	2. Developed region: nonG7	2. High income: nonOECD	Europe	Southern Europe	16.404128994	45.0804763057												MDC	4059048	4338027	70.7639296762665	5.74967456284425	5.64	8.99	16702698870.3041	46840061587.958	3971.7369475937	10439.3367214236	5.759		0.81230986089144	16.404128994	45.0804763057
Cuba	11451652	108200.0	5. Emerging region: G20	3. Upper middle income	North America	Caribbean	-79.0160538445	21.6228952793												LDC	7141130	11281768	69.9279077914706	5.12093906862976	5.12	10.18	18361919061.7525	60177279864.1103	2149.41648291457	5422.15080839114		0.681340679657066	0.814962921323418	-79.0160538445	21.6228952793
Cuban	11451652	108200.0	5. Emerging region: G20	3. Upper middle income	North America	Caribbean	-79.0160538445	21.6228952793												LDC	7141130	11281768	69.9279077914706	5.12093906862976	5.12	10.18	18361919061.7525	60177279864.1103	2149.41648291457	5422.15080839114		0.681340679657066	0.814962921323418	-79.0160538445	21.6228952793
Cyprus	531640	22700.0	6. Developing region	2. High income: nonOECD	Asia	Western Asia	33.0060021957	34.916672112												LDC	572929	1103685	51.1364762780785	4.35286526003242	4.98	9.75	2182923668.1919	19175941612.7015	3479.01230875823	17390.3523993894	5.689	0.660745611263996	0.845018727370998	33.0060021957	34.916672112
Czech	10211904	265200.0	2. Developed region: nonG7	1. High income: OECD	Europe	Eastern Europe	15.3124016281	49.7334123295												MDC	9577974	10553701	24.3294240747086	3.14919019853421	9.64	12.32	57460913367.6441	141885419982.04	5866.21619221895	13908.0077463546	6.505		0.861342063904772	15.3124016281	49.7334123295
Czech Republic	10211904	265200.0	2. Developed region: nonG7	1. High income: OECD	Europe	Eastern Europe	15.3124016281	49.7334123295												MDC	9577974	10553701	24.3294240747086	3.14919019853421	9.64	12.32	57460913367.6441	141885419982.04	5866.21619221895	13908.0077463546	6.505		0.861342063904772	15.3124016281	49.7334123295
Czechkoslavakia	10211904	265200.0	2. Developed region: nonG7	1. High income: OECD	Europe	Eastern Europe	15.3124016281	49.7334123295												MDC	9577974	10553701	24.3294240747086	3.14919019853421	9.64	12.32	57460913367.6441	141885419982.04	5866.21619221895	13908.0077463546	6.505		0.861342063904772	15.3124016281	49.7334123295
Czecholslovakia	10211904	265200.0	2. Developed region: nonG7	1. High income: OECD	Europe	Eastern Europe	15.3124016281	49.7334123295												MDC	9577974	10553701	24.3294240747086	3.14919019853421	9.64	12.32	57460913367.6441	141885419982.04	5866.21619221895	13908.0077463546	6.505		0.861342063904772	15.3124016281	49.7334123295
Czechoslovakia	10211904	265200.0	2. Developed region: nonG7	1. High income: OECD	Europe	Eastern Europe	15.3124016281	49.7334123295												MDC	9577974	10553701	24.3294240747086	3.14919019853421	9.64	12.32	57460913367.6441	141885419982.04	5866.21619221895	13908.0077463546	6.505		0.861342063904772	15.3124016281	49.7334123295
czechoslovakia	10211904	265200.0	2. Developed region: nonG7	1. High income: OECD	Europe	Eastern Europe	15.3124016281	49.7334123295												MDC	9577974	10553701	24.3294240747086	3.14919019853421	9.64	12.32	57460913367.6441	141885419982.04	5866.21619221895	13908.0077463546	6.505		0.861342063904772	15.3124016281	49.7334123295
Czechslovakia	10211904	265200.0	2. Developed region: nonG7	1. High income: OECD	Europe	Eastern Europe	15.3124016281	49.7334123295												MDC	9577974	10553701	24.3294240747086	3.14919019853421	9.64	12.32	57460913367.6441	141885419982.04	5866.21619221895	13908.0077463546	6.505		0.861342063904772	15.3124016281	49.7334123295
Denmark	5500510	203600.0	2. Developed region: nonG7	1. High income: OECD	Europe	Northern Europe	10.0280099191	55.9812529593												MDC	4580708	5550959	23.5647568913681	3.82210524146842	8.24	10.27	122204583488.174	258123197398.544	24794.1993261535	46798.9642781658	7.527	0.781162966417801	0.900460725286448	10.0280099191	55.9812529593
Dhsuh	9905596	196600.0	2. Developed region: nonG7	1. High income: OECD	Europe	Eastern Europe	19.3955911607	47.1627750614												MDC	10001270	10014633	54.732557821718	5.59387828143065	7.88	11.67	45184200712.5787	106496781982.158	4371.11185335507	10657.8431718698	4.8	0.695809706018808	0.818057626051209	19.3955911607	47.1627750614
Domincan Republic	9650054	78000.0	6. Developing region	3. Upper middle income	North America	Caribbean	-70.5056889612	18.8943308233												LDC	3311788	10016797	138.72231687051	29.5832406556866	3.04	6.9	6311356465.74091	47928418018.3806	1427.01923704589	4878.79594084426	4.885	0.527214179691141	0.700154168146633	-70.5056889612	18.8943308233
Dominica	72660	719.6	6. Developing region	3. Upper middle income	North America	Caribbean	-61.3577259987	15.4394702029												LDC	60016	71167					108925385.989563	347784202.69546	1560.87104663699	4776.40260249488			0.716900420088324	-61.3577259987	15.4394702029
Dominica, West Indies	9650054	78000.0	6. Developing region	3. Upper middle income	North America	Caribbean	-70.5056889612	18.8943308233												LDC	3311788	10016797	138.72231687051	29.5832406556866	3.04	6.9	6311356465.74091	47928418018.3806	1427.01923704589	4878.79594084426	4.885	0.527214179691141	0.700154168146633	-70.5056889612	18.8943308233
Dominican	9650054	78000.0	6. Developing region	3. Upper middle income	North America	Caribbean	-70.5056889612	18.8943308233												LDC	3311788	10016797	138.72231687051	29.5832406556866	3.04	6.9	6311356465.74091	47928418018.3806	1427.01923704589	4878.79594084426	4.885	0.527214179691141	0.700154168146633	-70.5056889612	18.8943308233
Dominican Republic	9650054	78000.0	6. Developing region	3. Upper middle income	North America	Caribbean	-70.5056889612	18.8943308233												LDC	3311788	10016797	138.72231687051	29.5832406556866	3.04	6.9	6311356465.74091	47928418018.3806	1427.01923704589	4878.79594084426	4.885	0.527214179691141	0.700154168146633	-70.5056889612	18.8943308233
Ecuador	14573101	107700.0	6. Developing region	3. Upper middle income	South America	South America	-78.752019225	-1.42381612488												LDC	4514593	15001072	129.481092510616	21.0805146618187	3.84	7.59	9933551229.11374	44779845655.9236	1672.52732570999	3027.58653707296	5.975	0.604952364483332	0.710636995950365	-78.752019225	-1.42381612488
Egypt	83082869	443700.0	5. Emerging region: G20	4. Lower middle income	Africa	Northern Africa	29.8619009908	26.4959331064												LDC	27997745	78075705	204.628165140469	23.4569467693122	1.03	6.37	16261744528.3774	131244508921.135	484.354915564114	1630.9365067827	4.194	0.451963570230512	0.681578148623049	29.8619009908	26.4959331064
egypt	83082869	443700.0	5. Emerging region: G20	4. Lower middle income	Africa	Northern Africa	29.8619009908	26.4959331064												LDC	27997745	78075705	204.628165140469	23.4569467693122	1.03	6.37	16261744528.3774	131244508921.135	484.354915564114	1630.9365067827	4.194	0.451963570230512	0.681578148623049	29.8619009908	26.4959331064
El Salvador	7185218	43630.0	6. Developing region	4. Lower middle income	North America	Central America	-88.8716446906	13.7394374383												LDC	2772970	6218195	131.844205089162	20.6043219376217	2.23	7.54	8089969797.93587	18568168046.4522	2244.77762548697	3068.07199105168	6.13	0.517445520733068	0.661609119602595	-88.8716446906	13.7394374383
England	62262000	1977704.0	1. Developed region: G7	1. High income: OECD	Europe	Northern Europe	-2.86563164084	54.1238715577												MDC	52544326	62066350	24.2558336015291	4.89816138935628	6.98	9.13	991474001727.404	2316523397772.18	17822.0089467825	37154.4683025092	6.867	0.734593311668692	0.891725911002765	-2.86563164084	54.1238715577
England / Jamaica	2825928	20910.0	6. Developing region	3. Upper middle income	North America	Caribbean	-77.3148259327	18.1569487765												LDC	1628997	2741485	78.3296108843144	24.4189931229895	4.4	9.53	7098237486.37392	11538567583.0043	3651.75684700737	4052.5561608623	5.709	0.614209098301159	0.715343927911997	-77.3148259327	18.1569487765
Estonia	1299371	27410.0	2. Developed region: nonG7	1. High income: OECD	Europe	Northern Europe	25.5424853656	58.6719297173												MDC	1216831	1298533	50.1233696481702	4.75915329061272	7.32	12.01	6453264403.83701	13663875519.3638	4733.96778263594	10582.5534355381	5.429		0.839900810809903	25.5424853656	58.6719297173
Ethiopia	85237338	68770.0	7. Least developed region	5. Low income	Africa	Eastern Africa	39.6008009763	8.6227867931												Least	22151218	87095281	181.669049735212	60.1543619352743			5107860128.31418	20317482285.0546	173.332861699195	236.131928485587	4.512		0.435139449354183	39.6008009763	8.6227867931
Finland	5250275	193500.0	2. Developed region: nonG7	1. High income: OECD	Europe	Northern Europe	26.2746656042	64.4988460349												MDC	4430228	5367693	26.0694174324994	2.770990696084	6.72	10.28	72598708461.7566	209764233297.533	15760.7186107562	39916.5592714562	7.406	0.751802218189742	0.879024287078754	26.2746656042	64.4988460349
France	64057792	2128000.0	1. Developed region: G7	1. High income: OECD	Europe	Western Europe	-2.76172944519	42.1734401107												MDC	45698640	63230866	33.5980727826711	3.68108020481883	4.95	10.43	893102054284.307	2205297416848.53	17189.9514577811	33958.5637413756	6.575	0.721890646353935	0.884325552004361	-2.76172944519	42.1734401107
France/Syria	20178485	98830.0	6. Developing region	4. Lower middle income	Asia	Western Asia	38.5078820425	35.025473894												LDC	4592777	21532647	123.711994437437	14.9422733441634	1.51	4.88	4790883543.17398	40026002508.9972	765.554964646989	1803.12659541723	3.006	0.52812233932414	0.657637330474914	38.5078820425	35.025473894
Georgia	4615807	21510.0	6. Developing region	4. Lower middle income	Asia	Western Asia	43.50780252	42.1685575537												LDC	4159769	4388674	73.0292532179667	22.0041953015572			6954331599.91415	8247442217.36436	1481.38138935918	1792.60072212361	4.297		0.743770121026052	43.50780252	42.1685575537
Germany	82329758	2918000.0	1. Developed region: G7	1. High income: OECD	Europe	Western Europe	10.385780508	51.1069818075												MDC	73336145	83017404	38.5642981593709	3.70149778775286	5.2	12.21	1316705288712.06	2930437817286.7	16927.8957167654	35892.6745628882	6.75	0.738572730758875	0.911436942000614	10.385780508	51.1069818075
germany	82329758	2918000.0	1. Developed region: G7	1. High income: OECD	Europe	Western Europe	10.385780508	51.1069818075												MDC	73336145	83017404	38.5642981593709	3.70149778775286	5.2	12.21	1316705288712.06	2930437817286.7	16927.8957167654	35892.6745628882	6.75	0.738572730758875	0.911436942000614	10.385780508	51.1069818075
Ghana	23832495	34200.0	6. Developing region	4. Lower middle income	Africa	Western Africa	-1.21676565807	7.95345643541												LDC	6652516	24262901	133.570709413417	55.3532923634936	2.14	7.0	4294950050.09838	14692550480.7217	488.676405427316	623.326262023852	4.633	0.42287589420592	0.573205905264549	-1.21676565807	7.95345643541
Great Britain	62262000	1977704.0	1. Developed region: G7	1. High income: OECD	Europe	Northern Europe	-2.86563164084	54.1238715577												MDC	52544326	62066350	24.2558336015291	4.89816138935628	6.98	9.13	991474001727.404	2316523397772.18	17822.0089467825	37154.4683025092	6.867	0.734593311668692	0.891725911002765	-2.86563164084	54.1238715577
Greece	10737428	343000.0	2. Developed region: nonG7	1. High income: OECD	Europe	Southern Europe	22.9555579369	39.0746962307												MDC	8333499	11109999	41.1849119903841	4.2261352115941	6.04	10.5	93855929760.9738	250938551195.86	10674.1726999292	23343.2448149595	4.857	0.713013845568956	0.852664377641854	22.9555579369	39.0746962307
Grenada	90739	1161.0	6. Developing region	3. Upper middle income	North America	Caribbean	-61.6822018889	12.1172504395												LDC	89861	104677	86.7341335442324	10.1841443928119			135163613.999843	519366991.44131	1416.66087412056	4817.07128161633			0.743957270564186	-61.6822018889	12.1172504395
Greneda	90739	1161.0	6. Developing region	3. Upper middle income	North America	Caribbean	-61.6822018889	12.1172504395												LDC	89861	104677	86.7341335442324	10.1841443928119			135163613.999843	519366991.44131	1416.66087412056	4817.07128161633			0.743957270564186	-61.6822018889	12.1172504395
Guatemala	13276517	68580.0	6. Developing region	4. Lower middle income	North America	Central America	-90.3648200858	15.694036635												LDC	4140636	14341576	133.848117047655	30.1412096098321	1.4	4.07	8283645941.73992	32474788358.0064	1573.57906741508	2396.58552475096	6.123	0.444964618100163	0.628080107457158	-90.3648200858	15.694036635
Guyana	772298	2966.0	6. Developing region	4. Lower middle income	South America	South America	-58.9820245893	4.79378034012												LDC	560296	786126	65.3262317298781	30.9674543679245	4.95	8.55	609637816.005142	918771908.102426	852.865744938372	1227.50713854691		0.515983342854869	0.637983853323885	-58.9820245893	4.79378034012
Guyna	772298	2966.0	6. Developing region	4. Lower middle income	South America	South America	-58.9820245893	4.79378034012												LDC	560296	786126	65.3262317298781	30.9674543679245	4.95	8.55	609637816.005142	918771908.102426	852.865744938372	1227.50713854691		0.515983342854869	0.637983853323885	-58.9820245893	4.79378034012
Haiti	9035536	11500.0	7. Least developed region	5. Low income	North America	Caribbean	-72.6852750899	18.9350256343												Least	3869288	9896400	193.561006554464	48.586271738989	0.9	4.9	2854154115.80614	4324581651.86983	628.588557003811	448.193151057032	4.518	0.352464773171248	0.471426801892647	-72.6852750899	18.9350256343
Helena	7637	18.0	6. Developing region	4. Lower middle income	Seven seas (open ocean)	Western Africa	-9.5477941587	-12.4035595078												LDC	4750	4244												-9.5477941587	-12.4035595078
Holland	16715999	672000.0	2. Developed region: nonG7	1. High income: OECD	Europe	Western Europe	5.28144793007	52.1007899002												MDC	11418507	16615243	18.2579549720547	4.10731091649619	8.04	11.17	258084474546.788	682785854920.427	19787.4446475452	41196.5998779056	7.378	0.783321561554705	0.915282799302405	5.28144793007	52.1007899002
Honduras	7792854	33720.0	6. Developing region	4. Lower middle income	North America	Central America	-86.6151660963	14.8268816519												LDC	2002333	7621204	153.972315708673	27.8127340325494	1.92	6.45	2586839385.22328	11434409695.282	937.034536312353	1431.19486161153	4.788	0.461196322624486	0.617192789497363	-86.6151660963	14.8268816519
